Phase angle  Polarization  Error
 (degree)        (%)        (%)
   10.0         -3.0        0.5
   20.0         -1.6        0.5
   30.0          0.8        0.5
   40.0          6.5        0.5
   50.0         14.0        0.3
   60.0         24.0        0.3
   70.0         31.1        0.5
   80.0         40.5        0.6
   90.0         50.6        0.5
  100.0         59.0        0.5
  110.0         64.0        0.3
  120.0         66.0        1.0
  130.0         64.3        0.5
  140.0         54.8        0.3
  150.0         44.0        0.3
  160.0         29.0        0.5
