Phase angle  Polarization  Error
 (degree)        (%)        (%)
   10.0         -2.3        0.9
   25.0         -0.2        2.9
   30.0          5.3        2.3
   35.0          7.0        2.2
   40.0         11.9        0.7
   50.0         18.4        1.8
   60.0         22.9        0.7
   70.0         26.6        3.1
   75.0         30.0        1.8
   80.0         32.2        4.0
   85.0         32.7        4.4
   95.0         36.1        3.7
  100.0         35.9        3.5
  105.0         33.6        4.1
  110.0         34.9        3.0
  120.0         29.5        1.4
  130.0         22.6        4.0
  150.0          6.2        3.7
