Phase angle  Polarization  Error
 (degree)        (%)        (%)
    5.0          2.0        2.7
   10.0          3.8        2.1
   15.0          5.7        1.6
   20.0          7.9        1.5
   25.0         11.2        1.3
   30.0         16.2        1.4
   40.0         24.5        1.5
   50.0         34.0        1.6
   60.0         46.4        1.6
   70.0         62.4        1.4
   80.0         70.9        1.3
   90.0         80.7        1.0
  100.0         78.0        1.1
  110.0         64.8        1.5
  120.0         54.4        1.6
  130.0         43.6        1.4
  140.0         30.9        1.7
  150.0         17.9        1.5
  160.0          5.4        1.8
  170.0          0.9        1.9
