phase_angle,scat_angle,polar_frac,error_polar_frac
2.0655737,177.9344263,-0.00159292,0.015
5.163934,174.836066,-0.011150442,0.015
14.9754095,165.0245905,-0.020707965,0.015
19.622952,160.377048,-0.011150442,0.015
23.237705,156.762295,0.006371682,0.015
30.209017,149.790983,0.028672566,0.015
36.663933,143.336067,0.05575221,0.015
42.60246,137.39754,0.08601769,0.015
48.282787,131.717213,0.11469027,0.015
57.57787,122.42213,0.16088495,0.015
64.54918,115.45082,0.19433628,0.015
71.77869,108.22131,0.22619469,0.015
81.84836,98.15164,0.25646017,0.015
98.37295,81.62705,0.26920355,0.015
105.60246,74.39754,0.26123894,0.015
109.733604,70.266396,0.24849558,0.015
114.38115,65.61885,0.23734512,0.015
119.02869,60.97131,0.21663717,0.015
